seed,ft_task,task,perfection_gap_factor
initial,Multi-view_Reasoning,Multi-view_Reasoning,0.2874999999999999
initial,Multi-view_Reasoning,Object_Localization,0.016666666666666677
initial,Multi-view_Reasoning,Forensic_Detection,-0.12676056338028172
initial,Object_Localization,Visual_Similarity,-2.050000000000001
initial,Object_Localization,Art_Style,0.07317073170731721
initial,Object_Localization,Visual_Correspondence,-1.0566037735849056
initial,Object_Localization,Relative_Depth,-0.8124999999999999
initial,Object_Localization,Relative_Reflectance,-0.08888888888888888
initial,Object_Localization,Spatial_Relation,0.062499999999999445
initial,Object_Localization,Jigsaw,-0.22413793103448268
initial,Object_Localization,Counting,0.025641025641025494
initial,Object_Localization,Functional_Correspondence,-0.020833333333333356
initial,Object_Localization,Semantic_Correspondence,-0.11250000000000011
initial,Object_Localization,Multi-view_Reasoning,0.09999999999999991
initial,Object_Localization,Object_Localization,0.2833333333333335
initial,Object_Localization,Forensic_Detection,-0.1830985915492957
initial,Forensic_Detection,Visual_Similarity,0.0
initial,Forensic_Detection,Art_Style,0.24390243902439057
initial,Forensic_Detection,Visual_Correspondence,-0.5660377358490566
initial,Forensic_Detection,Relative_Depth,0.09375000000000007
initial,Forensic_Detection,Relative_Reflectance,0.055555555555555594
initial,Forensic_Detection,Spatial_Relation,0.062499999999999445
initial,Forensic_Detection,Jigsaw,-0.775862068965517
initial,Forensic_Detection,Counting,-0.051282051282051426
initial,Forensic_Detection,Functional_Correspondence,0.020833333333333308
initial,Forensic_Detection,Semantic_Correspondence,-0.1
initial,Forensic_Detection,Multi-view_Reasoning,0.049999999999999954
initial,Forensic_Detection,Object_Localization,0.05000000000000003
initial,Forensic_Detection,Forensic_Detection,0.8028169014084506
seed_0,Visual_Similarity,Visual_Similarity,0.5499999999999995
seed_0,Visual_Similarity,Art_Style,0.12195121951219508
seed_0,Visual_Similarity,Visual_Correspondence,-0.3396226415094338
seed_0,Visual_Similarity,Relative_Depth,0.18750000000000014
seed_0,Visual_Similarity,Relative_Reflectance,0.25555555555555554
seed_0,Visual_Similarity,Spatial_Relation,0.0
seed_0,Visual_Similarity,Jigsaw,0.2413793103448278
seed_0,Visual_Similarity,Counting,0.051282051282051426
seed_0,Visual_Similarity,Functional_Correspondence,-0.010309278350515427
seed_0,Visual_Similarity,Semantic_Correspondence,-0.14814814814814822
seed_0,Visual_Similarity,Multi-view_Reasoning,0.07499999999999998
seed_0,Visual_Similarity,Object_Localization,-0.016666666666666677
seed_0,Visual_Similarity,Forensic_Detection,-0.32394366197183094
seed_0,Art_Style,Visual_Similarity,-0.3
seed_0,Art_Style,Art_Style,0.24390243902439057
seed_0,Art_Style,Visual_Correspondence,-0.3773584905660377
seed_0,Art_Style,Relative_Depth,0.25
seed_0,Art_Style,Relative_Reflectance,0.055555555555555594
seed_0,Art_Style,Spatial_Relation,0.3124999999999998
seed_0,Art_Style,Jigsaw,0.20689655172413826
seed_0,Art_Style,Counting,-0.02564102564102593
seed_0,Art_Style,Functional_Correspondence,-0.020618556701030903
seed_0,Art_Style,Semantic_Correspondence,-0.12345679012345688
seed_0,Art_Style,Multi-view_Reasoning,0.12499999999999994
seed_0,Art_Style,Object_Localization,0.05000000000000003
seed_0,Art_Style,Forensic_Detection,0.12676056338028172
seed_0,Visual_Correspondence,Visual_Similarity,0.34999999999999953
seed_0,Visual_Correspondence,Art_Style,0.024390243902438935
seed_0,Visual_Correspondence,Visual_Correspondence,0.5849056603773584
seed_0,Visual_Correspondence,Relative_Depth,0.3125000000000004
seed_0,Visual_Correspondence,Relative_Reflectance,0.08888888888888888
seed_0,Visual_Correspondence,Spatial_Relation,0.1874999999999996
seed_0,Visual_Correspondence,Jigsaw,0.4310344827586208
seed_0,Visual_Correspondence,Counting,-0.02564102564102593
seed_0,Visual_Correspondence,Functional_Correspondence,0.030927835051546424
seed_0,Visual_Correspondence,Semantic_Correspondence,-0.08641975308641978
seed_0,Visual_Correspondence,Multi-view_Reasoning,0.07499999999999998
seed_0,Visual_Correspondence,Object_Localization,0.11666666666666659
seed_0,Visual_Correspondence,Forensic_Detection,-0.08450704225352101
seed_0,Relative_Depth,Visual_Similarity,0.2
seed_0,Relative_Depth,Art_Style,0.0
seed_0,Relative_Depth,Visual_Correspondence,-0.07547169811320745
seed_0,Relative_Depth,Relative_Depth,0.6249999999999998
seed_0,Relative_Depth,Relative_Reflectance,0.0666666666666667
seed_0,Relative_Depth,Spatial_Relation,-0.25000000000000033
seed_0,Relative_Depth,Jigsaw,-0.15517241379310326
seed_0,Relative_Depth,Counting,0.025641025641025494
seed_0,Relative_Depth,Functional_Correspondence,-0.03092783505154638
seed_0,Relative_Depth,Semantic_Correspondence,-0.1851851851851852
seed_0,Relative_Depth,Multi-view_Reasoning,0.037499999999999936
seed_0,Relative_Depth,Object_Localization,-0.13333333333333341
seed_0,Relative_Depth,Forensic_Detection,-0.12676056338028172
seed_0,Relative_Reflectance,Visual_Similarity,0.0
seed_0,Relative_Reflectance,Art_Style,0.04878048780487787
seed_0,Relative_Reflectance,Visual_Correspondence,-0.2830188679245285
seed_0,Relative_Reflectance,Relative_Depth,0.25
seed_0,Relative_Reflectance,Relative_Reflectance,0.25555555555555554
seed_0,Relative_Reflectance,Spatial_Relation,0.12500000000000017
seed_0,Relative_Reflectance,Jigsaw,-0.08620689655172419
seed_0,Relative_Reflectance,Counting,0.0
seed_0,Relative_Reflectance,Functional_Correspondence,0.010309278350515523
seed_0,Relative_Reflectance,Semantic_Correspondence,-0.1728395061728396
seed_0,Relative_Reflectance,Multi-view_Reasoning,0.08750000000000001
seed_0,Relative_Reflectance,Object_Localization,0.016666666666666677
seed_0,Relative_Reflectance,Forensic_Detection,-0.07042253521126762
seed_0,Spatial_Relation,Visual_Similarity,0.04999999999999952
seed_0,Spatial_Relation,Art_Style,0.0
seed_0,Spatial_Relation,Visual_Correspondence,-0.4339622641509434
seed_0,Spatial_Relation,Relative_Depth,0.3125000000000004
seed_0,Spatial_Relation,Relative_Reflectance,0.15555555555555547
seed_0,Spatial_Relation,Spatial_Relation,0.24999999999999906
seed_0,Spatial_Relation,Jigsaw,0.1206896551724139
seed_0,Spatial_Relation,Counting,0.07692307692307693
seed_0,Spatial_Relation,Functional_Correspondence,0.030927835051546424
seed_0,Spatial_Relation,Semantic_Correspondence,-0.14814814814814822
seed_0,Spatial_Relation,Multi-view_Reasoning,0.0
seed_0,Spatial_Relation,Object_Localization,-0.016666666666666677
seed_0,Spatial_Relation,Forensic_Detection,-0.08450704225352101
seed_0,Jigsaw,Visual_Similarity,0.1
seed_0,Jigsaw,Art_Style,0.14634146341463403
seed_0,Jigsaw,Visual_Correspondence,-0.3396226415094338
seed_0,Jigsaw,Relative_Depth,0.09375000000000007
seed_0,Jigsaw,Relative_Reflectance,0.033333333333333395
seed_0,Jigsaw,Spatial_Relation,0.1874999999999996
seed_0,Jigsaw,Jigsaw,0.6896551724137931
seed_0,Jigsaw,Counting,-0.10256410256410242
seed_0,Jigsaw,Functional_Correspondence,-0.041237113402061806
seed_0,Jigsaw,Semantic_Correspondence,-0.1728395061728396
seed_0,Jigsaw,Multi-view_Reasoning,0.049999999999999954
seed_0,Jigsaw,Object_Localization,0.016666666666666677
seed_0,Jigsaw,Forensic_Detection,-0.21126760563380273
seed_0,Counting,Visual_Similarity,-0.6500000000000005
seed_0,Counting,Art_Style,0.24390243902439057
seed_0,Counting,Visual_Correspondence,-0.5283018867924526
seed_0,Counting,Relative_Depth,0.15624999999999994
seed_0,Counting,Relative_Reflectance,0.13333333333333328
seed_0,Counting,Spatial_Relation,-0.31250000000000105
seed_0,Counting,Jigsaw,-0.20689655172413773
seed_0,Counting,Counting,-0.12820512820512836
seed_0,Counting,Functional_Correspondence,-0.06185567010309276
seed_0,Counting,Semantic_Correspondence,-0.13580246913580254
seed_0,Counting,Multi-view_Reasoning,0.049999999999999954
seed_0,Counting,Object_Localization,0.05000000000000003
seed_0,Counting,Forensic_Detection,0.042253521126760576
seed_0,Functional_Correspondence,Visual_Similarity,-1.0500000000000005
seed_0,Functional_Correspondence,Art_Style,0.0
seed_0,Functional_Correspondence,Visual_Correspondence,-0.8301886792452832
seed_0,Functional_Correspondence,Relative_Depth,-0.3124999999999999
seed_0,Functional_Correspondence,Relative_Reflectance,0.09999999999999998
seed_0,Functional_Correspondence,Spatial_Relation,0.062499999999999445
seed_0,Functional_Correspondence,Jigsaw,-0.2586206896551724
seed_0,Functional_Correspondence,Counting,-0.07692307692307693
seed_0,Functional_Correspondence,Functional_Correspondence,0.1855670103092784
seed_0,Functional_Correspondence,Semantic_Correspondence,-0.23456790123456805
seed_0,Functional_Correspondence,Multi-view_Reasoning,0.08750000000000001
seed_0,Functional_Correspondence,Object_Localization,0.16666666666666663
seed_0,Functional_Correspondence,Forensic_Detection,-0.33802816901408456
seed_0,Semantic_Correspondence,Visual_Similarity,-0.05000000000000048
seed_0,Semantic_Correspondence,Art_Style,0.3170731707317074
seed_0,Semantic_Correspondence,Visual_Correspondence,0.4716981132075474
seed_0,Semantic_Correspondence,Relative_Depth,0.25
seed_0,Semantic_Correspondence,Relative_Reflectance,0.055555555555555594
seed_0,Semantic_Correspondence,Spatial_Relation,-0.12500000000000017
seed_0,Semantic_Correspondence,Jigsaw,-0.1724137931034482
seed_0,Semantic_Correspondence,Counting,0.0
seed_0,Semantic_Correspondence,Functional_Correspondence,0.1030927835051546
seed_0,Semantic_Correspondence,Semantic_Correspondence,0.20987654320987642
seed_0,Semantic_Correspondence,Multi-view_Reasoning,0.06249999999999997
seed_0,Semantic_Correspondence,Object_Localization,0.19999999999999998
seed_0,Semantic_Correspondence,Forensic_Detection,-0.02816901408450705
seed_0,Multi-view_Reasoning,Visual_Similarity,0.34999999999999953
seed_0,Multi-view_Reasoning,Art_Style,0.04878048780487787
seed_0,Multi-view_Reasoning,Visual_Correspondence,-0.4150943396226414
seed_0,Multi-view_Reasoning,Relative_Depth,0.3750000000000003
seed_0,Multi-view_Reasoning,Relative_Reflectance,0.1444444444444445
seed_0,Multi-view_Reasoning,Spatial_Relation,0.062499999999999445
seed_0,Multi-view_Reasoning,Jigsaw,-0.18965517241379296
seed_0,Multi-view_Reasoning,Counting,0.025641025641025494
seed_0,Multi-view_Reasoning,Functional_Correspondence,0.041237113402061855
seed_0,Multi-view_Reasoning,Semantic_Correspondence,-0.13580246913580254
seed_0,Multi-view_Reasoning,Multi-view_Reasoning,0.6625
seed_0,Multi-view_Reasoning,Object_Localization,0.08333333333333338
seed_0,Multi-view_Reasoning,Forensic_Detection,-0.02816901408450705
seed_0,Object_Localization,Visual_Similarity,-1.900000000000001
seed_0,Object_Localization,Art_Style,0.07317073170731721
seed_0,Object_Localization,Visual_Correspondence,-1.1320754716981132
seed_0,Object_Localization,Relative_Depth,-0.6874999999999993
seed_0,Object_Localization,Relative_Reflectance,-0.07777777777777778
seed_0,Object_Localization,Spatial_Relation,0.062499999999999445
seed_0,Object_Localization,Jigsaw,-0.22413793103448268
seed_0,Object_Localization,Counting,0.051282051282051426
seed_0,Object_Localization,Functional_Correspondence,0.0
seed_0,Object_Localization,Semantic_Correspondence,-0.11111111111111122
seed_0,Object_Localization,Multi-view_Reasoning,0.08750000000000001
seed_0,Object_Localization,Object_Localization,0.2999999999999999
seed_0,Object_Localization,Forensic_Detection,-0.2253521126760564
seed_0,Forensic_Detection,Visual_Similarity,-0.20000000000000095
seed_0,Forensic_Detection,Art_Style,0.19512195121951229
seed_0,Forensic_Detection,Visual_Correspondence,-0.7358490566037736
seed_0,Forensic_Detection,Relative_Depth,0.06250000000000042
seed_0,Forensic_Detection,Relative_Reflectance,0.04444444444444439
seed_0,Forensic_Detection,Spatial_Relation,0.062499999999999445
seed_0,Forensic_Detection,Jigsaw,-0.8275862068965515
seed_0,Forensic_Detection,Counting,-0.10256410256410242
seed_0,Forensic_Detection,Functional_Correspondence,0.030927835051546424
seed_0,Forensic_Detection,Semantic_Correspondence,-0.14814814814814822
seed_0,Forensic_Detection,Multi-view_Reasoning,0.07499999999999998
seed_0,Forensic_Detection,Object_Localization,0.0
seed_0,Forensic_Detection,Forensic_Detection,0.7887323943661972
seed_1,Visual_Similarity,Visual_Similarity,0.4499999999999995
seed_1,Visual_Similarity,Art_Style,0.19512195121951229
seed_1,Visual_Similarity,Visual_Correspondence,-0.3396226415094338
seed_1,Visual_Similarity,Relative_Depth,0.06250000000000042
seed_1,Visual_Similarity,Relative_Reflectance,0.16666666666666666
seed_1,Visual_Similarity,Spatial_Relation,0.0
seed_1,Visual_Similarity,Jigsaw,0.48275862068965525
seed_1,Visual_Similarity,Counting,-0.07692307692307693
seed_1,Visual_Similarity,Functional_Correspondence,0.020833333333333308
seed_1,Visual_Similarity,Semantic_Correspondence,-0.16250000000000003
seed_1,Visual_Similarity,Multi-view_Reasoning,0.08750000000000001
seed_1,Visual_Similarity,Object_Localization,0.08333333333333338
seed_1,Visual_Similarity,Forensic_Detection,-0.21126760563380273
seed_1,Art_Style,Visual_Similarity,0.04999999999999952
seed_1,Art_Style,Art_Style,0.24390243902439057
seed_1,Art_Style,Visual_Correspondence,-0.320754716981132
seed_1,Art_Style,Relative_Depth,0.18750000000000014
seed_1,Art_Style,Relative_Reflectance,0.022222222222222195
seed_1,Art_Style,Spatial_Relation,0.3750000000000005
seed_1,Art_Style,Jigsaw,0.1206896551724139
seed_1,Art_Style,Counting,0.0
seed_1,Art_Style,Functional_Correspondence,-0.05208333333333334
seed_1,Art_Style,Semantic_Correspondence,-0.13750000000000007
seed_1,Art_Style,Multi-view_Reasoning,0.08750000000000001
seed_1,Art_Style,Object_Localization,0.033333333333333354
seed_1,Art_Style,Forensic_Detection,0.07042253521126762
seed_1,Visual_Correspondence,Visual_Similarity,0.29999999999999905
seed_1,Visual_Correspondence,Art_Style,0.0
seed_1,Visual_Correspondence,Visual_Correspondence,0.641509433962264
seed_1,Visual_Correspondence,Relative_Depth,0.3750000000000003
seed_1,Visual_Correspondence,Relative_Reflectance,0.09999999999999998
seed_1,Visual_Correspondence,Spatial_Relation,0.062499999999999445
seed_1,Visual_Correspondence,Jigsaw,0.22413793103448285
seed_1,Visual_Correspondence,Counting,0.0
seed_1,Visual_Correspondence,Functional_Correspondence,0.06249999999999998
seed_1,Visual_Correspondence,Semantic_Correspondence,-0.18750000000000008
seed_1,Visual_Correspondence,Multi-view_Reasoning,0.0
seed_1,Visual_Correspondence,Object_Localization,0.14999999999999994
seed_1,Visual_Correspondence,Forensic_Detection,-0.02816901408450705
seed_1,Relative_Depth,Visual_Similarity,0.14999999999999952
seed_1,Relative_Depth,Art_Style,-0.024390243902438935
seed_1,Relative_Depth,Visual_Correspondence,-0.13207547169811315
seed_1,Relative_Depth,Relative_Depth,0.6562499999999999
seed_1,Relative_Depth,Relative_Reflectance,0.0666666666666667
seed_1,Relative_Depth,Spatial_Relation,-0.12500000000000017
seed_1,Relative_Depth,Jigsaw,-0.08620689655172419
seed_1,Relative_Depth,Counting,-0.07692307692307693
seed_1,Relative_Depth,Functional_Correspondence,-0.09375000000000001
seed_1,Relative_Depth,Semantic_Correspondence,-0.16250000000000003
seed_1,Relative_Depth,Multi-view_Reasoning,0.024999999999999918
seed_1,Relative_Depth,Object_Localization,-0.13333333333333341
seed_1,Relative_Depth,Forensic_Detection,-0.1830985915492957
seed_1,Relative_Reflectance,Visual_Similarity,0.04999999999999952
seed_1,Relative_Reflectance,Art_Style,0.07317073170731721
seed_1,Relative_Reflectance,Visual_Correspondence,-0.2641509433962265
seed_1,Relative_Reflectance,Relative_Depth,0.2187499999999998
seed_1,Relative_Reflectance,Relative_Reflectance,0.24444444444444446
seed_1,Relative_Reflectance,Spatial_Relation,0.12500000000000017
seed_1,Relative_Reflectance,Jigsaw,-0.13793103448275829
seed_1,Relative_Reflectance,Counting,-0.02564102564102593
seed_1,Relative_Reflectance,Functional_Correspondence,-0.020833333333333356
seed_1,Relative_Reflectance,Semantic_Correspondence,-0.17500000000000004
seed_1,Relative_Reflectance,Multi-view_Reasoning,0.08750000000000001
seed_1,Relative_Reflectance,Object_Localization,0.033333333333333354
seed_1,Relative_Reflectance,Forensic_Detection,0.0
seed_1,Spatial_Relation,Visual_Similarity,0.0
seed_1,Spatial_Relation,Art_Style,0.0
seed_1,Spatial_Relation,Visual_Correspondence,-0.5660377358490566
seed_1,Spatial_Relation,Relative_Depth,0.2812500000000002
seed_1,Spatial_Relation,Relative_Reflectance,0.15555555555555547
seed_1,Spatial_Relation,Spatial_Relation,0.1874999999999996
seed_1,Spatial_Relation,Jigsaw,0.06896551724137942
seed_1,Spatial_Relation,Counting,0.07692307692307693
seed_1,Spatial_Relation,Functional_Correspondence,0.0
seed_1,Spatial_Relation,Semantic_Correspondence,-0.16250000000000003
seed_1,Spatial_Relation,Multi-view_Reasoning,0.037499999999999936
seed_1,Spatial_Relation,Object_Localization,-0.05000000000000003
seed_1,Spatial_Relation,Forensic_Detection,-0.12676056338028172
seed_1,Jigsaw,Visual_Similarity,0.04999999999999952
seed_1,Jigsaw,Art_Style,0.09756097560975614
seed_1,Jigsaw,Visual_Correspondence,-0.4150943396226414
seed_1,Jigsaw,Relative_Depth,-0.06249999999999986
seed_1,Jigsaw,Relative_Reflectance,0.0
seed_1,Jigsaw,Spatial_Relation,0.062499999999999445
seed_1,Jigsaw,Jigsaw,0.7413793103448276
seed_1,Jigsaw,Counting,-0.07692307692307693
seed_1,Jigsaw,Functional_Correspondence,-0.04166666666666671
seed_1,Jigsaw,Semantic_Correspondence,-0.17500000000000004
seed_1,Jigsaw,Multi-view_Reasoning,0.049999999999999954
seed_1,Jigsaw,Object_Localization,0.0
seed_1,Jigsaw,Forensic_Detection,-0.19718309859154923
seed_1,Counting,Visual_Similarity,-0.8000000000000009
seed_1,Counting,Art_Style,0.2682926829268295
seed_1,Counting,Visual_Correspondence,-0.5283018867924526
seed_1,Counting,Relative_Depth,0.09375000000000007
seed_1,Counting,Relative_Reflectance,0.09999999999999998
seed_1,Counting,Spatial_Relation,-0.31250000000000105
seed_1,Counting,Jigsaw,-0.18965517241379296
seed_1,Counting,Counting,-0.10256410256410242
seed_1,Counting,Functional_Correspondence,-0.06250000000000003
seed_1,Counting,Semantic_Correspondence,-0.11250000000000011
seed_1,Counting,Multi-view_Reasoning,0.08750000000000001
seed_1,Counting,Object_Localization,0.033333333333333354
seed_1,Counting,Forensic_Detection,0.02816901408450705
seed_1,Functional_Correspondence,Visual_Similarity,-0.4
seed_1,Functional_Correspondence,Art_Style,0.024390243902438935
seed_1,Functional_Correspondence,Visual_Correspondence,-0.8867924528301886
seed_1,Functional_Correspondence,Relative_Depth,0.03125000000000021
seed_1,Functional_Correspondence,Relative_Reflectance,0.11111111111111108
seed_1,Functional_Correspondence,Spatial_Relation,0.0
seed_1,Functional_Correspondence,Jigsaw,-0.20689655172413773
seed_1,Functional_Correspondence,Counting,0.051282051282051426
seed_1,Functional_Correspondence,Functional_Correspondence,0.125
seed_1,Functional_Correspondence,Semantic_Correspondence,-0.21250000000000005
seed_1,Functional_Correspondence,Multi-view_Reasoning,0.07499999999999998
seed_1,Functional_Correspondence,Object_Localization,0.11666666666666659
seed_1,Functional_Correspondence,Forensic_Detection,-0.2816901408450704
seed_1,Semantic_Correspondence,Visual_Similarity,-0.05000000000000048
seed_1,Semantic_Correspondence,Art_Style,0.12195121951219508
seed_1,Semantic_Correspondence,Visual_Correspondence,0.5094339622641508
seed_1,Semantic_Correspondence,Relative_Depth,0.06250000000000042
seed_1,Semantic_Correspondence,Relative_Reflectance,0.09999999999999998
